               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11356,            0.038403,            0.028687,            0.043427,             0.13158,            0.043475,            0.015195,            0.094334,            0.022928,            0.023985,              0.0811,              0.0021,              0.0021
                   1,            0.085798,            0.042152,            0.020493,             0.38433,             0.38096,             0.37713,             0.12342,            0.069183,            0.019285,             0.01054,            0.061215,           0.0042149,           0.0042149
                   2,            0.074338,            0.034659,            0.012147,             0.49578,             0.41667,              0.4458,              0.1368,            0.073107,            0.016777,           0.0044754,            0.041243,           0.0062426,           0.0062426
                   3,            0.073201,            0.028861,           0.0072554,             0.24745,             0.48195,             0.24955,            0.073997,            0.077481,            0.014847,           0.0022706,            0.021183,           0.0081832,           0.0081832
                   4,            0.074782,             0.02564,           0.0055248,             0.42501,              0.4694,             0.46794,               0.195,            0.074944,            0.011679,           0.0016451,            0.009208,            0.009208,            0.009208
                   5,             0.07464,            0.026616,           0.0043749,             0.41567,             0.58624,             0.42609,             0.14717,             0.06415,            0.011619,           0.0014927,            0.009208,            0.009208,            0.009208
                   6,            0.064703,            0.023951,           0.0037824,              0.4463,             0.60129,             0.41352,             0.13323,            0.071428,            0.010843,           0.0015818,             0.00901,             0.00901,             0.00901
                   7,            0.069713,            0.024887,           0.0038147,             0.39039,              0.4998,             0.38541,             0.17032,             0.07905,            0.010427,            0.001741,            0.008812,            0.008812,            0.008812
                   8,            0.062484,            0.025484,           0.0036844,             0.54055,             0.68329,               0.606,              0.2544,            0.060314,            0.011246,           0.0018944,            0.008614,            0.008614,            0.008614
                   9,            0.057309,            0.025651,           0.0043211,             0.41985,             0.79253,             0.55993,             0.26439,            0.056239,            0.011926,           0.0016731,            0.008416,            0.008416,            0.008416
                  10,            0.052844,            0.022364,           0.0029862,             0.50119,             0.61092,             0.58186,             0.28036,            0.053743,            0.011801,           0.0015979,            0.008218,            0.008218,            0.008218
                  11,            0.056048,            0.025064,           0.0031153,             0.62217,             0.63288,             0.65429,             0.38083,            0.052636,            0.011579,           0.0015778,             0.00802,             0.00802,             0.00802
                  12,            0.052411,             0.02388,           0.0022188,             0.67176,             0.68381,             0.70988,             0.36582,            0.048941,            0.011793,           0.0014928,            0.007822,            0.007822,            0.007822
                  13,            0.047627,            0.022758,           0.0022357,             0.66707,             0.75616,             0.78057,             0.37836,            0.046038,            0.011877,           0.0014512,            0.007624,            0.007624,            0.007624
                  14,            0.047391,            0.021621,           0.0021439,             0.70518,             0.77081,             0.79328,             0.35892,            0.046427,            0.011531,           0.0012378,            0.007426,            0.007426,            0.007426
                  15,             0.05017,            0.024285,            0.001943,             0.67806,             0.82954,             0.83008,             0.44374,            0.043814,            0.011148,           0.0011038,            0.007228,            0.007228,            0.007228
                  16,            0.046188,             0.02517,           0.0018925,             0.59843,             0.80875,             0.73427,             0.38214,            0.041528,            0.011006,           0.0010547,             0.00703,             0.00703,             0.00703
                  17,            0.043476,            0.022694,           0.0019476,             0.66751,              0.8009,              0.7873,             0.42267,             0.04072,            0.011006,           0.0011833,            0.006832,            0.006832,            0.006832
                  18,            0.042978,            0.022558,           0.0018024,              0.8154,             0.76775,             0.84723,              0.3741,            0.043287,            0.010977,           0.0011804,            0.006634,            0.006634,            0.006634
                  19,            0.041802,            0.022506,           0.0021637,             0.77707,             0.83944,             0.83369,             0.50316,            0.040586,            0.011005,           0.0011844,            0.006436,            0.006436,            0.006436
                  20,            0.039769,            0.022119,           0.0017122,             0.76831,              0.8461,             0.81579,             0.45493,            0.037683,            0.010958,           0.0012445,            0.006238,            0.006238,            0.006238
                  21,            0.038266,            0.022882,           0.0019804,               0.802,              0.8467,             0.83957,             0.47994,            0.041251,            0.010898,           0.0012456,             0.00604,             0.00604,             0.00604
                  22,            0.037696,            0.021963,            0.001528,             0.80106,             0.82966,             0.81759,             0.47263,            0.039467,            0.011004,           0.0012165,            0.005842,            0.005842,            0.005842
                  23,            0.037168,             0.02079,            0.001525,              0.8104,             0.82497,             0.82481,             0.43005,            0.039748,            0.011034,           0.0012533,            0.005644,            0.005644,            0.005644
                  24,            0.037981,            0.021599,           0.0013724,             0.83129,             0.85315,             0.85125,             0.50534,            0.033438,            0.010876,           0.0011746,            0.005446,            0.005446,            0.005446
                  25,            0.034981,            0.020952,           0.0018567,             0.86795,             0.84157,             0.86345,             0.54343,            0.034403,            0.010973,          0.00099951,            0.005248,            0.005248,            0.005248
                  26,            0.037485,             0.02098,            0.001309,             0.85908,             0.83354,             0.87116,             0.54326,            0.034881,            0.011138,           0.0009594,             0.00505,             0.00505,             0.00505
                  27,            0.034781,            0.021984,           0.0010948,             0.79809,             0.88341,             0.85507,             0.53133,            0.033168,            0.011103,          0.00094481,            0.004852,            0.004852,            0.004852
                  28,            0.031337,            0.020945,          0.00094238,             0.78026,             0.88328,             0.84808,             0.54463,            0.031733,            0.011063,           0.0008887,            0.004654,            0.004654,            0.004654
                  29,            0.031132,            0.018846,           0.0010486,             0.80039,             0.87231,             0.86152,             0.55612,            0.034478,            0.011344,          0.00082585,            0.004456,            0.004456,            0.004456
                  30,            0.033769,            0.019665,          0.00081922,             0.81264,             0.86109,             0.84898,             0.53547,            0.034869,            0.011285,          0.00079241,            0.004258,            0.004258,            0.004258
                  31,            0.034952,            0.019278,           0.0015314,             0.76445,             0.88095,             0.83092,              0.5073,            0.035234,            0.011303,           0.0007892,             0.00406,             0.00406,             0.00406
                  32,            0.030357,            0.019243,           0.0012579,             0.79353,             0.83821,             0.83456,             0.53938,            0.035099,            0.011348,          0.00075563,            0.003862,            0.003862,            0.003862
                  33,              0.0309,            0.019512,           0.0011386,             0.77242,             0.84856,              0.8315,             0.54977,            0.035634,            0.011435,          0.00077963,            0.003664,            0.003664,            0.003664
                  34,            0.030239,            0.019548,          0.00086386,             0.79196,             0.84823,             0.83345,             0.54638,            0.035583,            0.011314,           0.0007983,            0.003466,            0.003466,            0.003466
                  35,            0.028959,            0.019994,          0.00090636,             0.78427,             0.88464,             0.86924,             0.55676,            0.035759,             0.01124,          0.00078273,            0.003268,            0.003268,            0.003268
                  36,            0.029464,            0.019909,           0.0018678,             0.78068,             0.87454,             0.84396,             0.55448,            0.034946,             0.01133,          0.00078144,             0.00307,             0.00307,             0.00307
                  37,            0.027641,            0.020849,          0.00079181,             0.78271,             0.88769,             0.84563,             0.54612,            0.034556,            0.011495,          0.00075903,            0.002872,            0.002872,            0.002872
                  38,            0.026944,            0.017851,          0.00099813,             0.76361,             0.91248,             0.84921,             0.55102,            0.033913,            0.011482,          0.00075064,            0.002674,            0.002674,            0.002674
                  39,            0.028036,             0.01994,           0.0011041,             0.83536,             0.80875,             0.85185,             0.55209,             0.03388,            0.011496,          0.00075068,            0.002476,            0.002476,            0.002476
                  40,            0.025764,            0.017407,           0.0025954,             0.83956,             0.79559,             0.85428,             0.55436,               0.033,            0.011488,          0.00075801,            0.002278,            0.002278,            0.002278
                  41,            0.027311,            0.018904,          0.00082633,             0.84358,             0.79559,             0.85737,             0.56077,            0.031674,            0.011354,          0.00080674,             0.00208,             0.00208,             0.00208
                  42,            0.027437,            0.019408,          0.00095217,             0.84108,             0.79525,             0.85741,             0.54959,            0.032864,            0.011222,            0.000811,            0.001882,            0.001882,            0.001882
                  43,             0.02655,            0.018305,          0.00062565,             0.79511,             0.87454,             0.86384,             0.56413,            0.030664,            0.011154,          0.00075973,            0.001684,            0.001684,            0.001684
                  44,            0.024684,             0.01569,          0.00068855,             0.80376,             0.85547,             0.86194,             0.55273,            0.030847,             0.01129,          0.00074123,            0.001486,            0.001486,            0.001486
                  45,            0.027089,            0.017242,           0.0010404,             0.80773,             0.87046,             0.85712,             0.58363,            0.030447,            0.011263,          0.00073341,            0.001288,            0.001288,            0.001288
                  46,            0.025949,            0.018341,           0.0006772,             0.80779,             0.86768,             0.85759,             0.58832,            0.030664,            0.011246,          0.00071694,             0.00109,             0.00109,             0.00109
                  47,            0.025577,            0.018142,          0.00065756,              0.7984,             0.86138,             0.85776,             0.59077,             0.03068,            0.011201,          0.00068734,            0.000892,            0.000892,            0.000892
                  48,            0.025412,            0.018921,          0.00060475,             0.80802,             0.87242,             0.85457,             0.59127,            0.030511,            0.011233,          0.00065571,            0.000694,            0.000694,            0.000694
                  49,             0.02336,            0.017351,             0.00074,             0.80382,             0.87454,             0.84728,             0.57951,            0.031573,            0.011372,          0.00068827,            0.000496,            0.000496,            0.000496
